"etahat_0","etahat_1","cov_00","cov_01","cov_11","rdhat","rrhat","var_rd","var_rr","Estimator","Version","eta_0","eta_1","rd","rr","seed","m","n_trial","n_aux","p_resp","p_cens","K"
0.801740886013115,0.150452453183031,0.00327628657320732,0.000203058164799047,0.00152221781464703,-0.651288432830084,0.187657204226167,0.00439238805825625,0.00242907652876098,"AIPW","Parametric",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,500,0.5,0.3,5
0.461756117220151,0.263362646384411,0.174989276046329,0.000225041390174585,0.00597478394208751,-0.198393470835741,0.570350097297893,0.180513977208067,0.293792022402767,"AIPW","Nonparametric SS 1",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,500,0.5,0.3,5
0.76125928827742,0.32432864031155,0.0199384083979423,0.000102745660227217,0.018040066001137,-0.43693064796587,0.426042276666918,0.0377729830786249,0.0372234586165956,"AIPW","Nonparametric SS 2",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,500,0.5,0.3,5
0.85063475715297,0.129306759721588,0.00196018242121832,0.000271957199636384,0.000169314860064608,-0.721327997431382,0.152012081136175,0.00158558288201016,0.000182327658703142,"AIPW","Parametric",0.770953423142522,0.228873423142522,-0.54208,0.296870623142964,2000001,20,5000,500,0.5,0.3,5
0.822997916178683,0.125783403914579,0.00298808214388938,0.000251047031202523,0.000772557947062982,-0.697214512264104,0.152835628671592,0.00325854602854732,0.00113035432508859,"AIPW","Nonparametric SS 1",0.770953423142522,0.228873423142522,-0.54208,0.296870623142964,2000001,20,5000,500,0.5,0.3,5
0.808101985139631,0.141397242145213,0.005643786232208,0.00023585162477775,0.00438551170139634,-0.666704742994419,0.174974501666124,0.00955759468404884,0.0068538571712023,"AIPW","Nonparametric SS 2",0.770953423142522,0.228873423142522,-0.54208,0.296870623142964,2000001,20,5000,500,0.5,0.3,5
0.801503287948581,0.150809294464446,0.00219287997875167,1.01027412939125e-05,0.00148364031452961,-0.650693993484135,0.18815804842228,0.00365631481069345,0.00242443302688443,"AIPW","Parametric",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,5000,0.5,0.3,5
0.80077103373964,0.260669072854318,0.00427578645080413,-6.81433297159981e-06,0.0153703805791267,-0.540101960885321,0.325522604928629,0.019659795695874,0.0246834922227277,"AIPW","Nonparametric SS 1",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,5000,0.5,0.3,5
0.920066743741306,0.129648609943226,0.039536974768314,2.2995737420849e-05,0.00667996016407795,-0.79041813379808,0.140912179279549,0.0461709434575503,0.00881079049580778,"AIPW","Nonparametric SS 2",0.76742901958922,0.23302901958922,-0.5344,0.303648954679812,2000001,20,500,5000,0.5,0.3,5
0.852414340454325,0.133958223023269,0.000274027568437145,1.88145623544938e-05,0.000131963729057944,-0.718456117431055,0.157151536131914,0.000368362172786101,0.000182790997951864,"AIPW","Parametric",0.770953423142522,0.228873423142522,-0.54208,0.296870623142964,2000001,20,5000,5000,0.5,0.3,5
0.855037233581676,0.0739949748725313,0.00205284111552102,2.24643037029459e-05,0.00319747848710288,-0.781042258709145,0.0865400616094492,0.00520539099521801,0.00438929584336476,"AIPW","Nonparametric SS 1",0.770953423142522,0.228873423142522,-0.54208,0.296870623142964,2000001,20,5000,5000,0.5,0.3,5
